Acousticness,Danceability,Energy,Genre,Instrumental,Key,Liveness,Loudness,Speechness,Tempo,Valence
0.227,0.439,0.539,rock,4.17E-06,7,0.328,-7.332,0.0283,138.365,0.327
0.363,0.582,0.743,rock,6.45E-06,10,0.115,-6.259,0.0359,108.502,0.397
0.0605,0.458,0.884,rock,0,2,0.567,-4.212,0.0436,116.715,0.607
0.372,0.545,0.42,rock,0.000385,11,0.615,-11.726,0.0251,164.05,0.454
0.22,0.693,0.672,rock,0.00969,11,0.0766,-11.079,0.0437,102.352,0.737
0.125,0.587,0.4,rock,0.000282,5,0.174,-14.262,0.0863,119.572,0.716
0.238,0.438,0.346,rock,0.000253,7,0.445,-12.66,0.0313,134.7,0.166
0.045,0.671,0.681,rock,2.30E-05,0,0.132,-9.006,0.0286,130.397,0.659
0.0237,0.593,0.813,rock,0.00286,3,0.0658,-9.387,0.0544,126.328,0.699
0.0738,0.67,0.557,rock,0.000777,0,0.443,-8.599,0.0298,115.974,0.497
0.604,0.386,0.627,rock,1.77E-06,2,0.259,-7.502,0.0512,69.864,0.532
0.00737,0.353,0.56,rock,0.00127,4,0.37,-7.797,0.0287,98.839,0.296
0.000784,0.482,0.726,rock,0.00494,2,0.112,-9.352,0.0324,106.558,0.76
0.228,0.627,0.798,rock,0.0168,11,0.0468,-8.907,0.0664,102.441,0.722
0.721,0.299,0.261,rock,1.29E-06,8,0.121,-11.1,0.03,138.742,0.0932
0.00661,0.526,0.568,rock,0.000123,9,0.282,-8.318,0.0234,84.809,0.537
0.00031,0.39,0.729,rock,0.0248,0,0.104,-7.702,0.0288,129.345,0.64
0.0163,0.705,0.845,rock,0.106,2,0.112,-7.459,0.0425,112.97,0.847
0.467,0.361,0.313,rock,0.007,2,0.0989,-12.343,0.0308,77.095,0.321
0.292,0.507,0.5,rock,8.07E-06,0,0.12,-6.927,0.0269,75.984,0.213
0.388,0.403,0.784,rock,1.47E-05,0,0.263,-6.037,0.0329,159.702,0.617
2.96E-05,0.361,0.886,rock,0.000279,6,0.314,-8.384,0.109,165.196,0.762
0.102,0.574,0.629,rock,7.58E-05,0,0.126,-11.055,0.0553,152.71,0.447
0.272,0.458,0.398,rock,1.88E-06,0,0.0886,-10.257,0.0271,78.175,0.182
0.114,0.538,0.673,rock,4.61E-05,7,0.302,-8.532,0.0277,93.242,0.522
0.77,0.482,0.099,rock,3.14E-05,10,0.114,-14.086,0.0438,133.298,0.193
0.305,0.644,0.457,rock,0.00428,5,0.0926,-10.71,0.044,147.869,0.49
0.0268,0.61,0.554,rock,0.00407,2,0.508,-11.946,0.0398,98.381,0.77
0.23,0.556,0.668,rock,3.16E-05,1,0.122,-9.295,0.0478,82.622,0.432
0.444,0.273,0.354,rock,0.00153,5,0.106,-11.356,0.0334,186.881,0.22
0.367,0.675,0.459,rock,0.000198,5,0.128,-10.641,0.0283,93.994,0.293
0.88,0.624,0.254,rock,0.00135,4,0.119,-12.265,0.0318,106.134,0.398
